ticker,entry_date,return_pct,duration_days,rsi_at_entry,atr_pct_at_entry,dist_atr_at_entry,weekday,month,rs_vs_spy_pct
AAL,2025-02-27,-8.313003260936133,5,15.718192282082626,4.126619823826015,1.2783007635726902,Thursday,2,-20.533191587845213
AAL,2026-01-27,12.632171648001997,10,29.4573609659104,4.378945937711882,0.7286350247844807,Tuesday,1,-34.501577688056514
ABCL,2022-09-16,-11.30000511390556,7,37.86666855980298,5.850063449061352,1.307995243970389,Friday,9,-33.949507751717846
ABCL,2022-12-05,-12.278586055695856,4,18.6170309210208,6.691507701672158,1.687456842845372,Monday,12,-3.17793405808241
ABCL,2025-09-03,7.987292867286968,7,32.12120773271714,7.758312053772516,2.8105787309426,Wednesday,9,42.4142339219437
ABCL,2025-11-04,-25.84168438079218,9,28.421058656064844,7.445053274354034,2.829030701175277,Tuesday,11,59.64179489006154
ABEO,2023-07-24,-12.9649947806198,11,21.13819884945731,7.123584660585842,1.8808151585618056,Monday,7,-43.3062968325953
ABEO,2023-09-18,10.94687833266291,8,39.89636534280493,7.969195066825361,0.9981671343060172,Monday,9,-23.5443068544276
ABEO,2023-10-25,8.111996231309995,9,32.57576475608862,7.238650664026898,0.6374918688420036,Wednesday,10,-9.685745101457721
ABEO,2024-01-24,-14.681303025591724,7,18.8679532202184,5.364873016796883,1.992942019796781,Wednesday,1,63.339457946688896
ABEO,2024-11-04,6.688800437963876,3,37.11339900669044,5.187702250732269,2.222312781466858,Monday,11,20.245097654964272
ABEO,2024-11-14,6.314491398658789,13,34.63686558228136,5.429249079268756,2.1037616374515125,Thursday,11,7.771269761924571
ABEO,2024-12-18,6.285513645927324,15,11.000013197440254,4.337063207690544,0.8463821976168875,Wednesday,12,-4.432524277910455
ABEO,2025-06-20,-5.627499191441218,11,38.255045869722096,5.980146294650006,0.7260391365744673,Friday,6,21.974997849388945
ABEO,2025-09-10,-12.438899921376636,5,36.09467308852551,4.322585176914044,2.2404499949491226,Wednesday,9,-3.041513464418988
ABSI,2024-04-19,-3.4462308221742277,28,39.34010089158486,9.317078882972035,3.3665998187277566,Friday,4,146.917022229978
ABSI,2024-05-23,11.259794471670435,20,32.195118781256895,8.630227919697605,1.4176312703201783,Thursday,5,133.4631703536742
ABSI,2025-11-06,-26.635928472033736,7,29.82831693226196,8.923507315623906,1.7364126605482142,Thursday,11,-27.887460321405054
ABX,2024-02-28,4.696214011402603,5,38.6426592762754,5.273188679287237,5.2857474425385576,Wednesday,2,-13.267743585965341
ABX,2024-03-06,8.37324028383968,6,28.767127623730005,5.247201531412076,4.288976957414278,Wednesday,3,-17.491333426195066
ABX,2024-04-11,4.477926700011552,1,36.06557035986936,4.497602799930456,4.236201907236422,Thursday,4,-14.668814253197858
ABX,2024-05-23,9.141210535064564,5,20.925089367208955,4.592323071226179,0.9968052278379532,Thursday,5,-22.845170954916448
ABX,2026-01-30,10.902982349600103,3,25.925927230108528,5.300485991562338,2.380516587011677,Friday,1,-19.223118434309626
ABX,2026-02-03,12.759626901061525,8,35.04273722520274,6.551283861296773,1.5743022435766707,Tuesday,2,-20.864241252753235
ABX,2026-03-26,7.889299644472795,25,33.974363132566864,5.642955780503558,2.906639398239875,Thursday,3,8.03616924689765
ABX,2026-05-19,4.670687741034709,7,38.65546330439132,5.0681226134358095,1.839121077193402,Tuesday,5,-24.267617478662572
ACDC,2026-02-27,6.762731005455978,6,39.06249273024669,6.83750367346814,1.3671867852821424,Friday,2,-43.22421199100297
ACDC,2026-04-09,9.096013272431216,7,38.92215390119687,7.903613130549759,2.588505585964497,Thursday,4,-6.103571267607943
ACHC,2026-05-07,9.769582720683982,6,39.67479234070549,6.728266886753873,2.7906083681588325,Thursday,5,-28.146725430091045
ACHC,2026-05-21,12.977510187578034,13,27.23845182956623,6.308356128909955,2.1851693951193223,Thursday,5,-33.93037649902725
ACHV,2023-03-10,15.358748104330669,17,27.983533846001976,8.475978833268107,1.8354291168464896,Friday,3,-25.283031399755473
ACHV,2023-05-18,16.678209791607486,4,38.24701127787186,9.034079705171733,3.956837735244069,Thursday,5,2.013290034225723
ACHV,2023-06-26,-10.082189205727362,3,33.33333315855178,8.524437862774969,0.6737575069667657,Monday,6,-6.990361192864669
ACHV,2024-06-14,-6.520202792027479,18,27.82608084884653,4.963533253117837,1.1263101180623427,Friday,6,-46.37704222013001
ACHV,2025-11-18,10.19375388407549,8,35.37736016666723,7.609164847266187,3.51284162726321,Tuesday,11,-12.613062098343342
ACHV,2026-01-28,8.277749411800611,29,34.892087944500915,7.950761629993401,1.765838143494537,Wednesday,1,24.167777221987684
ACRS,2022-04-12,7.877499136998398,2,32.803174980750626,5.919440625386867,0.7345152024727565,Tuesday,4,-50.664175621324944
ACRS,2024-08-05,-4.228221933855384,2,38.09523952855461,5.89637906564555,0.5346821942402638,Monday,8,-102.65603126090686
ACRS,2024-12-16,-17.070529592403695,31,28.054300563870044,11.987659265689125,3.821626947095381,Monday,12,156.35120149450222
ACRS,2025-01-28,5.233886291002133,3,33.3333322222212,7.959699296775271,2.5286031955657164,Tuesday,1,67.33056982435085
ACRS,2025-02-11,-11.552272481218848,16,31.818182398424057,8.131095600413513,1.1646276399134483,Tuesday,2,64.97055290054014
ACRS,2026-01-02,7.032339873369942,18,31.25000082235665,6.292573892614947,4.579546141175261,Friday,1,-0.012886589647198576
ACRS,2026-02-27,16.838698142295524,10,26.02739208931372,9.803550945839316,1.2875465713948555,Friday,2,21.285025214988718
